2017-05-18 15:43:30 INFO  Homepage:71 - clicking on passwored:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_password']]
2017-05-18 15:43:30 INFO  Homepage:73 - clicking on signinbutton:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@value='Sign In']]
2017-05-18 15:43:40 INFO  Homepage:84 - alert text is:
2017-05-18 15:43:45 INFO  Homepage:69 - clicking on email:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_username']]
2017-05-18 15:43:46 INFO  Homepage:71 - clicking on passwored:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_password']]
2017-05-18 15:43:47 INFO  Homepage:73 - clicking on signinbutton:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@value='Sign In']]
2017-05-18 15:43:56 INFO  Homepage:84 - alert text is:
2017-05-18 15:44:03 INFO  Homepage:69 - clicking on email:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_username']]
2017-05-18 15:44:03 INFO  Homepage:71 - clicking on passwored:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_password']]
2017-05-18 15:44:04 INFO  Homepage:73 - clicking on signinbutton:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@value='Sign In']]
2017-05-18 15:44:13 INFO  Homepage:84 - alert text is:
